	0
𐄡𐄑𐄋	925
𐄡𐄑𐄌	926
𐄡𐄑𐄍	927
𐄡𐄑𐄎	928
𐄡𐄑𐄏	929
𐄡𐄒	930
𐄡𐄒𐄇	931
𐄡𐄒𐄈	932
𐄡𐄒𐄉	933
𐄡𐄒𐄊	934
𐄡𐄒𐄋	935
𐄡𐄒𐄌	936
𐄡𐄒𐄍	937
𐄡𐄒𐄎	938
𐄡𐄒𐄏	939
𐄡𐄓	940
𐄡𐄓𐄇	941
𐄡𐄓𐄈	942
𐄡𐄓𐄉	943
𐄡𐄓𐄊	944
𐄡𐄓𐄋	945
𐄡𐄓𐄌	946
𐄡𐄓𐄍	947
𐄡𐄓𐄎	948
𐄡𐄓𐄏	949
𐄡𐄔	950
𐄡𐄔𐄇	951
𐄡𐄔𐄈	952
𐄡𐄔𐄉	953
𐄡𐄔𐄊	954
𐄡𐄔𐄋	955
𐄡𐄔𐄌	956
𐄡𐄔𐄍	957
𐄡𐄔𐄎	958
𐄡𐄔𐄏	959
𐄡𐄕	960
𐄡𐄕𐄇	961
𐄡𐄕𐄈	962
𐄡𐄕𐄉	963
𐄡𐄕𐄊	964
𐄡𐄕𐄋	965
𐄡𐄕𐄌	966
𐄡𐄕𐄍	967
𐄡𐄕𐄎	968
𐄡𐄕𐄏	969
𐄡𐄖	970
𐄡𐄖𐄇	971
𐄡𐄖𐄈	972
𐄡𐄖𐄉	973
𐄡𐄖𐄊	974
𐄡𐄖𐄋	975
𐄡𐄖𐄌	976
𐄡𐄖𐄍	977
𐄡𐄖𐄎	978
𐄡𐄖𐄏	979
𐄡𐄗	980
𐄡𐄗𐄇	981
𐄡𐄗𐄈	982
𐄡𐄗𐄉	983
𐄡𐄗𐄊	984
𐄡𐄗𐄋	985
𐄡𐄗𐄌	986
𐄡𐄗𐄍	987
𐄡𐄗𐄎	988
𐄡𐄗𐄏	989
𐄡𐄘	990
𐄡𐄘𐄇	991
𐄡𐄘𐄈	992
𐄡𐄘𐄉	993
𐄡𐄘𐄊	994
𐄡𐄘𐄋	995
𐄡𐄘𐄌	996
𐄡𐄘𐄍	997
𐄡𐄘𐄎	998
𐄡𐄘𐄏	999
𐄢	1000
𐄢𐄇	1001
𐄢𐄈	1002
𐄢𐄉	1003
𐄢𐄊	1004
𐄢𐄋	1005
𐄢𐄌	1006
𐄢𐄍	1007
𐄢𐄎	1008
𐄢𐄏	1009
𐄢𐄐	1010
𐄢𐄐𐄇	1011
𐄢𐄐𐄈	1012
𐄢𐄐𐄉	1013
